run_id,target_flow_ml_per_hr,drop_factor_name,drop_factor_nominal_gtts_per_ml,fluid_name,bag_volume_ml,duration_s,sample_period_s,anomaly,anomaly_start_frac,n_weight_samples,n_drops_observed,seed
run_000_none,50.0,microdrip_60,60,d5w_dextrose,500.0,37800.0,1.0,none,,37801,33505,438878
run_001_none,100.0,microdrip_60,60,normal_saline,500.0,18900.0,1.0,none,,18901,31889,697368
run_002_none,75.0,macrodrip_10,10,d5w_dextrose,500.0,25200.000000000004,1.0,none,,25201,5579,975622
run_003_none,125.0,microdrip_60,60,ringers_lactate,500.0,15120.0,1.0,none,,15121,32537,786064
run_004_none,100.0,macrodrip_10,10,ringers_lactate,500.0,18900.0,1.0,none,,18901,5439,450385
run_005_none,100.0,macrodrip_15,15,normal_saline,500.0,18900.0,1.0,none,,18901,7960,926764
run_006_none,125.0,macrodrip_20,20,d5w_dextrose,500.0,15120.0,1.0,none,,15121,11158,822761
run_007_none,100.0,macrodrip_15,15,d5w_dextrose,500.0,18900.0,1.0,none,,18901,8376,227238
run_008_none,50.0,macrodrip_20,20,ringers_lactate,500.0,37800.0,1.0,none,,37801,10852,63817
run_009_none,150.0,microdrip_60,60,normal_saline,500.0,12600.000000000002,1.0,none,,12601,31844,631664
run_010_none,50.0,microdrip_60,60,ringers_lactate,500.0,37800.0,1.0,none,,37801,32486,354525
run_011_none,50.0,microdrip_60,60,d5w_dextrose,500.0,37800.0,1.0,none,,37801,33515,893121
run_012_occlusion,125.0,microdrip_60,60,ringers_lactate,500.0,8640.0,1.0,occlusion,0.5,8641,11067,194638
run_013_occlusion,75.0,macrodrip_15,15,d5w_dextrose,500.0,14400.0,1.0,occlusion,0.5,14401,2842,43803
run_014_occlusion,100.0,macrodrip_10,10,ringers_lactate,500.0,10800.0,1.0,occlusion,0.5,10801,1855,683048
run_015_occlusion,150.0,macrodrip_20,20,d5w_dextrose,500.0,7200.0,1.0,occlusion,0.5,7201,3786,967509
run_016_leak,100.0,macrodrip_15,15,ringers_lactate,500.0,10800.0,1.0,leak,0.5,10801,9114,370459
run_017_leak,50.0,macrodrip_15,15,ringers_lactate,500.0,21600.0,1.0,leak,0.5,21601,9161,189471
run_018_leak,100.0,macrodrip_10,10,ringers_lactate,500.0,10800.0,1.0,leak,0.5,10801,6089,475704
run_019_leak,75.0,macrodrip_10,10,d5w_dextrose,500.0,14400.0,1.0,leak,0.5,14401,6264,669813
