t_s,load_cell_weight_g,true_weight_g,true_flow_ml_per_hr
0.0,539.7620307607385,540.5,125.19785776495087
1.0,541.1465953633239,540.4648402682776,125.36396456576539
2.0,540.6182185519016,540.4296338882288,124.17853043084412
3.0,539.703763472206,540.3947604175994,126.26544820768632
4.0,540.6068960743972,540.3593008708945,127.31306409636633
5.0,540.4546202168343,540.3235471187274,127.81182387271156
6.0,540.7496866985275,540.2876532981898,123.44981873773641
7.0,540.4054285924599,540.2529844740943,124.93511527954496
8.0,539.7928562185683,540.21789852922,125.46252649235002
9.0,540.335895448327,540.1826644696966,123.40484061338775
10.0,539.9276818545763,540.1480082769577,124.8332689283767
11.0,540.5521124089958,540.1129509339337,124.10173686249992
12.0,539.8075125554983,540.0780990294982,124.84893204895327
13.0,539.6305364167829,540.0430372877477,124.27864023399816
14.0,540.0786383539859,540.0081357029486,123.49134551204189
15.0,539.7443223841691,539.9734552167506,124.40054625693331
16.0,539.9166294871735,539.9385193966768,124.47980517816556
17.0,539.5566724744226,539.9035613180561,125.06094478752354
18.0,540.35905294237,539.8684400360614,127.65860001147261
19.0,539.8279709736843,539.8325892458915,124.02598747825145
20.0,539.3152721394622,539.7977586144082,124.32785471203967
21.0,539.3567211373306,539.7628432085432,125.85273954772052
22.0,539.7684669628541,539.7274995641868,126.2101455008596
23.0,539.559931335315,539.6920555483254,126.93689153721363
24.0,539.5034224724569,539.656407437952,124.36039697652535
25.0,540.076263009392,539.6214828931345,126.27045381464319
26.0,539.8941706749143,539.5860219406882,127.13279586336681
27.0,540.0494738599006,539.5503188138498,127.07489774069425
28.0,539.9158203609749,539.5146319467343,128.48305421904846
29.0,539.5798172739865,539.4785496223412,124.07984616751837
30.0,539.3514281779619,539.4437038655424,124.30451228849053
31.0,539.7801130831838,539.4087950150081,125.82379703442705
32.0,539.041821609697,539.3734594986743,124.43004289714008
33.0,539.8201992723903,539.3385153949607,126.55875651708162
34.0,539.2664162112736,539.3029734775055,124.05068209426379
35.0,539.2049714549743,539.2681359109506,125.91910812043038
36.0,539.3873778385548,539.2327736280868,124.89165350379167
37.0,539.0771036030387,539.1976998887278,124.18384097497977
38.0,538.6015937392604,539.1628249267206,126.71171342621032
39.0,539.6418336236364,539.1272400538669,124.84051929613524
40.0,538.5085898173193,539.0921806746978,124.59848452145822
41.0,539.1114645875581,539.0571892669614,123.1172349202844
42.0,539.0533276664289,539.022613843488,127.30513137203232
43.0,539.6112138525577,538.9868623190944,125.31435236677619
44.0,538.5799205568352,538.9516698718046,128.83564559697692
45.0,538.5205867727906,538.9154885279995,123.54776080729296
46.0,538.7556752045589,538.880792198506,125.29602876601491
47.0,538.8626761916104,538.8456048970943,125.38394924696013
48.0,538.2794259387141,538.8103929046808,126.32914476684188
49.0,538.857193323999,538.7749154698588,122.93300185942101
50.0,539.3935350350891,538.7403917851699,125.62373631582246
51.0,538.3670204808344,538.7051124525545,126.74720640423755
52.0,538.9159020861508,538.6695176120893,125.00403929221285
53.0,537.7533703601432,538.6344123110548,125.17649591863525
54.0,538.657409547302,538.599258578451,125.40205608809006
55.0,538.824021664777,538.5640415010329,124.07525357839147
56.0,538.3761984491504,538.5291970339863,125.41253385765842
57.0,538.5418392021388,538.4939770140613,124.07704702223539
58.0,539.0166518486009,538.4591320433558,125.61404180819481
59.0,538.0893944512915,538.4238554332813,122.42728291972959
60.0,538.7447948069523,538.3894737713281,124.92164327061926
61.0,538.2237616923768,538.3543916098429,125.86470320545476
62.0,538.2638888322342,538.3190446056927,124.6793092680154
63.0,538.6250933950013,538.2840304996732,124.70908031534042
64.0,538.2697512402785,538.2490080329515,125.96786798151642
65.0,537.9002641242295,538.2136320566933,124.04796667989673
