t_s,true_flow_ml_per_hr,true_weight_g,effective_drop_factor_gtts_per_ml
0.0,125.21707642867977,545.0,21.0
1.0,126.1301947793945,544.9645218283453,21.000488692183666
2.0,124.60859589901582,544.9287849398244,21.000977384325978
3.0,125.01050255251828,544.8934791709863,21.001466076385597
4.0,124.97597609714138,544.8580595285964,21.001954768321156
5.0,125.65617223288798,544.8226496687023,21.002443460091307
6.0,126.74799330956455,544.7870470865696,21.00293215165471
7.0,124.095744475567,544.7511351551319,21.00342084297
8.0,126.31796987179841,544.7159746941973,21.003909533995834
9.0,126.0498492313796,544.6801846027336,21.004398224690863
10.0,126.35346039474375,544.6444704787846,21.004886915013728
11.0,126.494843516884,544.6086703316728,21.00537560492308
12.0,123.04136172255954,544.5728301260096,21.005864294377577
13.0,127.12861998271033,544.5379684068548,21.00635298333586
14.0,125.03677836113725,544.5019486311932,21.006841671756575
15.0,123.41741502822731,544.4665215439909,21.007330359598374
16.0,126.08030761348934,544.4315532763994,21.00781904681991
17.0,125.46605860965202,544.3958305225756,21.00830773337983
18.0,124.96162053236148,544.3602818059696,21.008796419236788
19.0,126.26780945482324,544.3248760134854,21.00928510434942
20.0,125.58857137307811,544.28910013414,21.009773788676387
21.0,124.2208906639385,544.2535167055842,21.01026247217634
22.0,125.99037876706936,544.2183207865628,21.01075115480792
23.0,125.66530027601448,544.1826235125787,21.011239836529782
24.0,124.63503862698916,544.1470183441672,21.011728517300575
25.0,125.35284428049434,544.1117050832229,21.01221719707895
26.0,125.21349698206166,544.0761884440101,21.01270587582355
27.0,123.68083187476438,544.0407112865319,21.013194553493033
28.0,123.53470969566118,544.0056683841673,21.01368323004605
29.0,125.77250646643992,543.9706668830868,21.014171905441245
30.0,126.85093369719445,543.935031339588,21.01466057963727
31.0,125.1399783736154,543.8990902417072,21.015149252592774
32.0,126.09746671209957,543.8636339145013,21.015637924266414
33.0,125.61355772530221,543.8279062989329,21.016126594616832
34.0,124.57085550416075,543.7923157909107,21.016615263602688
35.0,126.04669086802859,543.7570207151846,21.017103931182625
36.0,125.76819061162078,543.7213074861053,21.017592597315293
37.0,124.39142026233816,543.6856731654319,21.01808126195935
38.0,125.8871036914072,543.650428929691,21.018569925073443
39.0,124.92191374367093,543.6147609169784,21.01905858661623
40.0,124.28670241200861,543.5793663747511,21.019547246546345
41.0,125.77033271222157,543.5441518090677,21.02003590482246
42.0,122.20999536107861,543.5085168814658,21.020524561403214
43.0,125.85040710371763,543.4738907161136,21.021013216247265
44.0,124.16712744831028,543.4382331007675,21.021501869313262
45.0,126.01264938089848,543.4030524146572,21.021990520559857
46.0,123.65606017462358,543.3673488306658,21.022479169945704
47.0,124.67009938304977,543.3323129469497,21.022967817429457
48.0,125.40824420171198,543.2969897521245,21.02345646296976
49.0,122.58773186995143,543.2614574162674,21.02394510652528
50.0,124.43597294491634,543.2267242255709,21.024433748054662
51.0,124.29065344219094,543.1914673665699,21.024922387516554
52.0,126.23286223533235,543.1562516814279,21.025411024869612
53.0,125.58077312098752,543.1204857037945,21.0258996600725
54.0,125.9405140753061,543.0849044847436,21.026388293083855
55.0,123.65042504324417,543.049221339089,21.02687692386235
56.0,123.20654784818028,543.0141870519933,21.027365552366625
57.0,123.49223144619667,542.9792785301031,21.02785417855533
58.0,124.40616526395563,542.9442890645266,21.028342802387133
59.0,126.44164158313433,542.9090406510352,21.028831423820684
60.0,125.80776310988882,542.8732155192533,21.029320042814636
61.0,124.40693664123938,542.837569986372,21.029808659327646
62.0,125.95552624019197,542.8023213543238,21.030297273318368
63.0,125.29057169120259,542.7666339552225,21.030785884745452
64.0,123.81111334514166,542.7311349599099,21.031274493567565
65.0,126.61361551086202,542.6960551444621,21.03176309974335
66.0,125.97328515903554,542.660181286734,21.03225170323148
67.0,125.10645873243325,542.6244888559389,21.032740303990597
68.0,123.84927377805268,542.5890420259648,21.03322890197936
69.0,124.863121111624,542.5539513983942,21.03371749715643
70.0,126.17971953420684,542.5185735140793,21.034206089480463
71.0,125.8053939657761,542.4828225935446,21.03469467891011
72.0,124.55222328376657,542.447177731921,21.03518326540404
73.0,124.28031051465102,542.4118879353239,21.035671848920902
74.0,123.32297815050606,542.3766751806781,21.036160429419358
75.0,124.8239332125804,542.3417336702022,21.03664900685806
76.0,125.08746456559889,542.3063668891252,21.037137581195676
77.0,126.95245616199904,542.2709254408317,21.03762615239086
78.0,126.05298141493589,542.2349555782524,21.038114720402273
79.0,124.58580160592557,542.1992405668516,21.038603285188568
80.0,124.32698821053495,542.1639412563966,21.039091846708416
81.0,124.23487857409198,542.1287152764036,21.039580404920468
82.0,126.68403238289686,542.0935153941409,21.040068959783383
83.0,127.10431237994915,542.0576215849658,21.040557511255827
84.0,123.38237149455786,542.0216086964581,21.041046059296455
85.0,124.2127715386961,541.9866503578679,21.041534603863937
86.0,124.42175299260386,541.9514567392653,21.042023144916925
87.0,125.30077217993795,541.9162039092507,21.04251168241409
88.0,124.4957777187424,541.8807020237998,21.043000216314088
89.0,124.46979274017104,541.8454282201128,21.043488746575576
90.0,125.6821289449628,541.8101617788363,21.04397727315723
91.0,123.69185564792394,541.774551842302,21.044465796017697
92.0,125.51597776400362,541.739505816535,21.044954315115657
93.0,125.03287899203112,541.7039429561686,21.04544283040976
94.0,122.97758412945325,541.6685169737875,21.045931341858672
95.0,125.54115838104192,541.6336733249509,21.046419849421063
96.0,126.18352321583214,541.5981033300762,21.046908353055596
97.0,125.874573205465,541.5623513318317,21.047396852720933
98.0,124.06904317487052,541.5266868694235,21.04788534837574
99.0,124.58716244163425,541.4915339738573,21.048373839978684
100.0,125.8084618224023,541.4562342778322,21.048862327488425
101.0,124.4385673211969,541.4205885469826,21.04935081086364
102.0,123.68837866636431,541.3853309529081,21.049839290062987
103.0,125.43079014142674,541.350285912286,21.050327765045132
104.0,124.39203381649025,541.3147471884126,21.05081623576875
105.0,126.25661896792491,541.2795027788313,21.051304702192503
106.0,123.36005927805155,541.2437300701238,21.051793164275058
107.0,125.24410746226484,541.2087780533283,21.052281621975084
108.0,125.28477093640782,541.1732922228806,21.052770075251257
109.0,125.00899871353118,541.1377948711154,21.053258524062233
110.0,126.46621097640973,541.1023756548132,21.053746968366692
111.0,124.55835426477348,541.0665435617032,21.0542354081233
112.0,126.04766763948838,541.0312520279948,21.054723843290727
