t_s,load_cell_weight_g,true_weight_g,true_flow_ml_per_hr
0.0,540.1155816991594,540.5,126.0836944410271
1.0,540.3390983087525,540.4645914958111,124.45756734641664
2.0,540.2924533680947,540.4296396623147,124.88151072250982
3.0,540.4828510609668,540.3945687713867,124.59276990425055
4.0,540.8609120155469,540.3595789685053,122.44642300203307
5.0,540.637897725798,540.3251919313789,122.699428678235
6.0,540.6259916886893,540.2907338418252,124.58493212105654
7.0,540.5105734297978,540.2557462400545,125.09283537900691
8.0,539.9712381487179,540.2206160021188,125.30041009089689
9.0,540.5513312494858,540.185427470285,124.32408300124217
10.0,539.8274831891056,540.1505131236421,123.6188299390447
11.0,540.0708841579255,540.1157968355676,127.90040589970467
12.0,539.9672092821992,540.0798781382441,125.18235802182917
13.0,540.051159573266,540.0447227593663,124.35516574673595
14.0,540.3743840879072,540.0097996836523,125.48048393643839
15.0,540.8138333815689,539.9745605810801,123.85543290023249
16.0,540.0167841505569,539.9397778470075,125.67357335402401
17.0,540.3914522346403,539.9044845184904,125.42057043794382
18.0,539.9055895028812,539.8692622416258,124.88241825912671
19.0,539.9124856711762,539.8341910958313,125.38522196054784
20.0,539.3199211928744,539.7989787459975,123.88047802004509
21.0,539.0956328563456,539.7641889784202,124.96905655479448
22.0,539.7804636953641,539.7290935017044,125.38744428785058
23.0,540.0207339519403,539.6938805277669,124.65432692980289
24.0,540.1932895688053,539.6588734376207,124.80477891600384
25.0,539.215994797714,539.6238240955417,124.75171261024937
26.0,539.966827385085,539.5887896562505,125.81229879890493
27.0,539.2870094058596,539.5534573690045,124.34770016016135
28.0,539.5310408727026,539.5185363898761,124.5559861282045
29.0,539.3995338286398,539.4835569171051,123.8940954464173
30.0,539.4435534522812,539.4487633253005,125.49773473502302
31.0,539.2936894700604,539.4135193781292,125.82111892840176
32.0,539.7838734573323,539.3781846138968,124.69162637102444
33.0,539.7117760440159,539.3431670488242,125.24441451754393
34.0,539.5337628534901,539.307994242414,125.55337006563634
35.0,539.1575263358458,539.2727346709871,125.42248298377861
36.0,539.2678128310372,539.2375118570159,126.84805188614058
37.0,539.1014688094672,539.2018886957778,127.07432053055264
38.0,538.8247491079544,539.1662019907621,125.79619006994943
39.0,538.435271918798,539.1308742273842,123.74074380530445
40.0,539.2983563499902,539.0961237018322,127.1010005011774
