t_s,true_flow_ml_per_hr,true_weight_g,effective_drop_factor_gtts_per_ml
0.0,76.09466200824538,545.0,15.75
1.0,74.9463173711543,544.9784398457643,15.750384845094082
2.0,74.45117222117216,544.9572050558426,15.75076969015226
3.0,76.44761926159487,544.9361105570465,15.751154535138635
4.0,74.68572721051396,544.9144503982557,15.751539380017306
5.0,74.63176607776676,544.8932894422128,15.751924224752369
6.0,76.12113826434755,544.8721437751574,15.752309069307923
7.0,75.84813252968013,544.8505761193157,15.752693913648063
8.0,76.06410342449178,544.829085815099,15.753078757736894
9.0,74.56122098615971,544.8075343191288,15.753463601538511
10.0,74.42341331153358,544.7864086398495,15.753848445017008
11.0,74.42581534618533,544.7653220060778,15.754233288136492
12.0,76.073817407234,544.7442346917296,15.75461813086105
13.0,74.62315420493437,544.7226804434642,15.755002973154793
14.0,74.85197591765947,544.7015372164396,15.755387814981809
15.0,74.78238243150601,544.6803291565963,15.755772656306203
16.0,74.4467154063187,544.6591408149073,15.75615749709207
17.0,74.05233027998737,544.6380475788756,15.756542337303511
18.0,74.27353105713811,544.6170660852963,15.756927176904624
19.0,75.7118171300668,544.5960219181634,15.757312015859503
20.0,75.05988350598643,544.5745702366431,15.757696854132256
21.0,74.95325088149563,544.5533032696499,15.758081691686973
22.0,75.36741550360252,544.5320665152333,15.758466528487757
23.0,74.8997224272284,544.510712414174,15.758851364498705
24.0,74.8824335879688,544.489490826153,15.75923619968392
25.0,75.57311531255512,544.4682741366364,15.759621034007496
26.0,74.99509887081152,544.4468617539644,15.760005867433536
27.0,74.19591581400472,544.4256131426177,15.760390699926141
28.0,75.2940345204989,544.4045909664704,15.7607755314494
29.0,74.63644357484843,544.3832576566897,15.761160361967425
30.0,74.51860188268007,544.3621106643434,15.76154519144431
31.0,73.99201654975354,544.3409970604766,15.76193001984415
32.0,75.63252109887694,544.3200326557876,15.762314847131055
33.0,74.14615715896106,544.2986034414762,15.762699673269116
34.0,74.6621872467228,544.2775953636145,15.763084498222437
35.0,74.69640744104655,544.2564410772279,15.763469321955116
36.0,74.97830962686551,544.2352770951197,15.763854144431253
37.0,75.34230336097617,544.2140332407255,15.764238965614954
38.0,75.0498236579647,544.1926862547731,15.764623785470313
39.0,76.66646393572528,544.17142213807,15.76500860396143
40.0,76.69430838375848,544.1496999732882,15.76539342105241
41.0,75.00840685691557,544.1279699192462,15.765778236707352
42.0,75.89114850466584,544.1067175373034,15.76616305089036
43.0,75.27741299625116,544.0852150452271,15.766547863565528
44.0,74.60881188143918,544.0638864448781,15.76693267469696
45.0,74.57428426867696,544.0427472815118,15.767317484248759
46.0,75.90678879383098,544.0216179009689,15.767702292185028
47.0,74.58294255075069,544.0001109774773,15.768087098469863
48.0,75.09830456375771,543.9789791437547,15.768471903067372
49.0,73.69403264074396,543.9577012907948,15.768856705941653
50.0,74.89061115757856,543.93682131488,15.769241507056812
51.0,75.9019524408328,543.9156023083854,15.769626306376942
52.0,76.0538508919171,543.8940967551938,15.770011103866155
53.0,75.75231222168453,543.8725481641077,15.770395899488555
54.0,75.20862697428554,543.8510850089783,15.770780693208234
55.0,73.91711929097656,543.8297758980023,15.771165484989304
56.0,74.92636206531081,543.8088327142032,15.771550274795866
57.0,75.66026647553119,543.7876035782847,15.771935062592021
58.0,73.70159724012984,543.7661665027831,15.772319848341875
59.0,75.86157404601926,543.7452843835651,15.77270463200953
60.0,75.49935045213485,543.7237902709188,15.773089413559088
61.0,74.73462156212258,543.7023987882907,15.77347419295466
62.0,74.96451896697467,543.681223978848,15.773858970160344
63.0,74.81680132452547,543.6599840318074,15.77424374514025
64.0,76.1057201593118,543.6387859380989,15.774628517858476
65.0,74.22139988542806,543.6172226507204,15.775013288279128
66.0,75.64971091854814,543.5961932540862,15.775398056366317
67.0,74.55644031168785,543.574759169326,15.775782822084144
68.0,75.54770200982937,543.553634844571,15.776167585396715
69.0,75.23544929897528,543.5322296623348,15.776552346268133
70.0,73.98315777073489,543.5109129517001,15.77693710466251
71.0,75.1081552916495,543.4899510569984,15.777321860543948
72.0,74.79963440447851,543.468670412999,15.777706613876555
73.0,74.34030034861745,543.4474771832511,15.778091364624439
74.0,74.38434711836743,543.4264140981525,15.778476112751706
75.0,75.47151303065492,543.4053385331356,15.778860858222458
76.0,75.90521248830795,543.3839549377768,15.779245601000808
77.0,75.73839810113859,543.3624484609052,15.779630341050865
78.0,74.74545179482921,543.3409892481097,15.780015078336733
79.0,74.44608121477313,543.3198113701012,15.780399812822525
80.0,75.26051826897236,543.298718313757,15.780784544472343
81.0,75.69326874261941,543.2773945002475,15.7811692732503
82.0,75.72124215321718,543.2559480741038,15.781553999120502
83.0,75.06138698972175,543.2344937221603,15.781938722047062
84.0,76.40511212767674,543.21322632918,15.782323441994091
85.0,75.6708772252678,543.1915782140771,15.782708158925692
